index,product_SMILES,route_name,routescore,visited_nodes
54,C[Si](C)(c1ccccc1-c1ccccc1-c1ccnc(F)c1)c1ccccc1-c1ccccc1-c1ccnc(F)c1,1,7930209.018662814,"[5111, 1224, 3884, 3861, 3862, 7752, 3878, 3879, 3880, 42, 7751, 3875, 3876, 3877, 3947, 8, 11, 3861, 3862]"
55,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)nc2)ccn1,1,55660.61466747676,"[5112, 1224, 43, 3861, 3862, 3947, 8, 11, 3861, 3862]"
56,Fc1cc(-c2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3ccnc(F)c3)cc2-n2c3ccccc3c3ccccc32)ccn1,1,21384956.664617296,"[7598, 1232, 45, 3866, 5118, 1224, 31, 3861, 3862, 3947, 8, 11, 3861, 3862]"
57,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4F)c4ccccc4c3)c2F)ccn1,1,60245.892065257016,"[5041, 1148, 26, 3861, 3862, 3943, 8, 22, 3861, 3862]"
58,Fc1cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccnc(F)c5)c4F)s3)c2F)ccn1,1,60873.230731124895,"[5042, 1148, 27, 3861, 3862, 3943, 8, 22, 3861, 3862]"
59,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2nc1C,1,65956.14629598802,"[5043, 1148, 28, 3861, 3862, 3943, 8, 22, 3861, 3862]"
60,Fc1cc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccnc(F)c4)c3F)c2F)ccn1,1,58651.91141095677,"[5044, 1148, 29, 3861, 3862, 3943, 8, 22, 3861, 3862]"
61,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2c1,1,65715.21579627263,"[5045, 1148, 30, 3861, 3862, 3943, 8, 22, 3861, 3862]"
62,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3F)c2F)ccn1,1,57916.65676947281,"[5046, 1148, 31, 3861, 3862, 3943, 8, 22, 3861, 3862]"
63,Fc1cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccnc(F)c6)c5F)cc4c3)c2F)ccn1,1,34945231.35782481,"[5047, 1148, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3943, 8, 22, 3861, 3862]"
