index,product_SMILES,route_name,routescore,visited_nodes
28,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c(Cl)cc3Cl)cc2)ccn1,1,66312.18467752266,"[5014, 1110, 35, 3861, 3862, 3941, 8, 20, 3861, 3862]"
29,Fc1cc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccnc(F)c6)cc5)ccc4c3)cc2)ccn1,1,61110.65774307421,"[5015, 1110, 36, 3861, 3862, 3941, 8, 20, 3861, 3862]"
30,Fc1cc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccnc(F)c6)cc5)c34)cc2)ccn1,1,58348.35863084901,"[5016, 1110, 37, 3861, 3862, 3941, 8, 20, 3861, 3862]"
31,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccnc(F)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccnc(F)c4)cc3)cc21,1,59230.42077155548,"[5017, 1110, 38, 3861, 3862, 3941, 8, 20, 3861, 3862]"
32,Fc1cc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5ccnc(F)c5)cc4)c4nsnc34)cc2)ccn1,1,58606.83357587294,"[5018, 1110, 39, 3861, 3862, 3941, 8, 20, 3861, 3862]"
33,C[Si](C)(c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1)c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1,1,5737864.857241279,"[5019, 1110, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3941, 8, 20, 3861, 3862]"
34,Fc1cc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccnc(F)c7)cc6)cc5nc4c3)cc2)ccn1,1,63666.10246477788,"[5020, 1110, 41, 3861, 3862, 3941, 8, 20, 3861, 3862]"
35,C[Si](C)(c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1)c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1,1,7932381.932993469,"[5003, 1110, 3884, 3861, 3862, 7752, 3878, 3879, 3880, 42, 7751, 3875, 3876, 3877, 3941, 8, 20, 3861, 3862]"
36,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)nc3)cc2)ccn1,1,57813.86653882322,"[5004, 1110, 43, 3861, 3862, 3941, 8, 20, 3861, 3862]"
37,Fc1cc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3-n3c4ccccc4c4ccccc43)cc2)ccn1,1,21387109.91701059,"[7573, 1118, 45, 3866, 5010, 1110, 31, 3861, 3862, 3941, 8, 20, 3861, 3862]"
38,Fc1cc(-c2ccccc2-c2cc(-c3ccccc3-c3ccnc(F)c3)c3ccccc3c2)ccn1,1,58036.69928949235,"[5113, 1224, 26, 3861, 3862, 3947, 8, 11, 3861, 3862]"
39,Fc1cc(-c2ccccc2-c2cc(Cl)c(-c3ccccc3-c3ccnc(F)c3)s2)ccn1,1,58642.158051854494,"[5114, 1224, 27, 3861, 3862, 3947, 8, 11, 3861, 3862]"
40,Cc1nc2c(-c3ccccc3-c3ccnc(F)c3)c3nsnc3c(-c3ccccc3-c3ccnc(F)c3)c2nc1C,1,63575.5748992446,"[5115, 1224, 28, 3861, 3862, 3947, 8, 11, 3861, 3862]"
41,Fc1cc(-c2ccccc2-c2ccccc2Oc2ccccc2-c2ccccc2-c2ccnc(F)c2)ccn1,1,56499.70229611378,"[5116, 1224, 29, 3861, 3862, 3947, 8, 11, 3861, 3862]"
42,CC(C)(C)c1ccc2c(-c3ccccc3-c3ccnc(F)c3)c3ccccc3c(-c3ccccc3-c3ccnc(F)c3)c2c1,1,63345.47070847767,"[5117, 1224, 30, 3861, 3862, 3947, 8, 11, 3861, 3862]"
43,Fc1cc(-c2ccccc2-c2cc(F)c(-c3ccccc3-c3ccnc(F)c3)cc2F)ccn1,1,55782.380342315664,"[5118, 1224, 31, 3861, 3862, 3947, 8, 11, 3861, 3862]"
44,Fc1cc(-c2ccccc2-c2ccc3oc(-c4ccccc4-c4ccnc(F)c4)cc3c2)ccn1,1,34943299.24525913,"[5119, 1224, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3947, 8, 11, 3861, 3862]"
45,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)o2)ccn1,1,56380.81156564195,"[5120, 1224, 33, 3861, 3862, 3947, 8, 11, 3861, 3862]"
46,Fc1cc(-c2ccccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4ccccc4-c4ccnc(F)c4)ccc2-3)ccn1,1,57204.45005123019,"[5121, 1224, 34, 3861, 3862, 3947, 8, 11, 3861, 3862]"
47,Fc1cc(-c2ccccc2-c2cc(-c3ccccc3-c3ccnc(F)c3)c(Cl)cc2Cl)ccn1,1,64158.93372639129,"[5122, 1224, 35, 3861, 3862, 3947, 8, 11, 3861, 3862]"
48,Fc1cc(-c2ccccc2-c2cnc3nc(-c4ccccc4-c4ccnc(F)c4)ccc3c2)ccn1,1,58957.40679194285,"[5123, 1224, 36, 3861, 3862, 3947, 8, 11, 3861, 3862]"
49,Fc1cc(-c2ccccc2-c2cccc3cccc(-c4ccccc4-c4ccnc(F)c4)c23)ccn1,1,56195.10767971764,"[5124, 1224, 37, 3861, 3862, 3947, 8, 11, 3861, 3862]"
50,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccccc3-c3ccnc(F)c3)ccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)cc21,1,57077.16982042412,"[5125, 1224, 38, 3861, 3862, 3947, 8, 11, 3861, 3862]"
51,Fc1cc(-c2ccccc2-c2c(F)c(F)c(-c3ccccc3-c3ccnc(F)c3)c3nsnc23)ccn1,1,56453.582624741575,"[5126, 1224, 39, 3861, 3862, 3947, 8, 11, 3861, 3862]"
52,C[Si](C)(c1ccc(-c2ccccc2-c2ccnc(F)c2)cc1)c1ccc(-c2ccccc2-c2ccnc(F)c2)cc1,1,5735711.606290148,"[5127, 1224, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3947, 8, 11, 3861, 3862]"
53,Fc1cc(-c2ccccc2-c2ccc3nc4ccc(-c5ccccc5-c5ccnc(F)c5)cc4nc3c2)ccn1,1,61512.851513646514,"[5128, 1224, 41, 3861, 3862, 3947, 8, 11, 3861, 3862]"
54,C[Si](C)(c1ccccc1-c1ccccc1-c1ccnc(F)c1)c1ccccc1-c1ccccc1-c1ccnc(F)c1,1,7930228.682042338,"[5111, 1224, 3884, 3861, 3862, 7752, 3878, 3879, 3880, 42, 7751, 3875, 3876, 3877, 3947, 8, 11, 3861, 3862]"
55,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)nc2)ccn1,1,55660.61558769185,"[5112, 1224, 43, 3861, 3862, 3947, 8, 11, 3861, 3862]"
56,Fc1cc(-c2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3ccnc(F)c3)cc2-n2c3ccccc3c3ccccc32)ccn1,1,21384956.66605946,"[7598, 1232, 45, 3866, 5118, 1224, 31, 3861, 3862, 3947, 8, 11, 3861, 3862]"
57,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4F)c4ccccc4c3)c2F)ccn1,1,60245.89313536275,"[5041, 1148, 26, 3861, 3862, 3943, 8, 22, 3861, 3862]"
58,Fc1cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccnc(F)c5)c4F)s3)c2F)ccn1,1,60873.23182753694,"[5042, 1148, 27, 3861, 3862, 3943, 8, 22, 3861, 3862]"
