,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole,N-Boc,N-H,halide,Step details,RouteScore details,Isolated,RouteScore,log(RouteScore),Total manual steps,Successfully processed?,Route type,Type,Manual steps
12,372.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)cc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5c(F)cccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc3-4)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5c(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cccc5-n5c6ccccc6c6ccccc65)ccc3-4)ccc21,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)cc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.24247726298478434, 'cost': 0.24247726298478434, 'time': 0.24804259351539967, 'money': 13.96651925, 'materials': 0.06999331666666671, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 410.7262153721545, 'cost': 410.7262153721545, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05931405, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 237.51682142616593, 'cost': 237.51682142616593, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03431255, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 238.5304769889114, 'cost': 238.5304769889114, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.04004703333333333, 'yield': 1, '# man steps': 1}]","{'RouteScore': 53294415.913508445, 'Cost factor': 53294415.913508445, 'sum Stepscores': 888.2402652251408, 'n_Target': 1.6666666666666667e-05}",0.01975678333333333,53294415.913508445,7.72668170686905,3.0,True,S-B,Automated,After
13,373.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)cc1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c(Cl)cc3Cl)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)c(Cl)cc3Cl)ccc21,Clc1cc(Cl)c(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)cc1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.3909341892585583, 'cost': 0.3909341892585583, 'time': 0.24804259351539967, 'money': 23.463999541666666, 'materials': 0.06717000000000004, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 391.1758698925064, 'cost': 391.1758698925064, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05649073333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 217.9733832221798, 'cost': 217.9733832221798, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03148923333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 221.7140734969155, 'cost': 221.7140734969155, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03722371666666666, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49948712.098547064, 'Cost factor': 49948712.098547064, 'sum Stepscores': 832.4785349757844, 'n_Target': 1.6666666666666667e-05}",0.016933466666666664,49948712.098547064,7.698524294649985,3.0,True,S-B,Automated,After
14,374.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cnc3nc(-c4c(-c5ccc6c(ccn6-c6cnccn6)c5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cnc4nc(-c5c(F)cccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc4c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cnc4nc(-c5c(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cccc5-n5c6ccccc6c6ccccc65)ccc4c3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2cnc3nc(-c4c(-c5ccc6[nH]ccc6c5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.2820987394791797, 'cost': 0.2820987394791797, 'time': 0.24804259351539967, 'money': 17.002764101666667, 'materials': 0.06688910000000003, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 389.2307490670352, 'cost': 389.2307490670352, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05620983333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 216.0289496216864, 'cost': 216.0289496216864, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03120833333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 220.04096052426456, 'cost': 220.04096052426456, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03694281666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49608421.92764338, 'Cost factor': 49608421.92764338, 'sum Stepscores': 826.8070321273897, 'n_Target': 1.6666666666666667e-05}",0.016652566666666667,49608421.92764338,7.695555412099337,3.0,True,S-B,Automated,After
15,375.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cccc3cccc(-c4c(-c5ccc6c(ccn6-c6cnccn6)c5)cccc4-n4c5ccccc5c5ccccc54)c23)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cccc4cccc(-c5c(F)cccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)c34)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cccc4cccc(-c5c(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cccc5-n5c6ccccc6c6ccccc65)c34)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2cccc3cccc(-c4c(-c5ccc6[nH]ccc6c5)cccc4-n4c5ccccc5c5ccccc54)c23)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.22410379991815643, 'cost': 0.22410379991815643, 'time': 0.24804259351539967, 'money': 13.513924399999999, 'materials': 0.0668561666666667, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 389.002698826669, 'cost': 389.002698826669, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.0561769, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 215.80097995308694, 'cost': 215.80097995308694, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.031175399999999995, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 219.8448010823541, 'cost': 219.8448010823541, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03690988333333333, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49565811.470217146, 'Cost factor': 49565811.470217146, 'sum Stepscores': 826.0968578369525, 'n_Target': 1.6666666666666667e-05}",0.01661963333333333,49565811.470217146,7.695182220655627,3.0,True,S-B,Automated,After
16,376.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc2-c2ccc(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cc21,c1ccc2c(c1)[nH]c1ccccc12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)cc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.23758330105911912, 'cost': 0.23758330105911912, 'time': 0.24804259351539967, 'money': 13.157491074666666, 'materials': 0.07279751666666671, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 419.295641712067, 'cost': 419.295641712067, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.06055158333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 246.0832201269987, 'cost': 246.0832201269987, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03555008333333332, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 245.90154524839156, 'cost': 245.90154524839156, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.04128456666666666, 'yield': 1, '# man steps': 1}]","{'RouteScore': 54764535.87380643, 'Cost factor': 54764535.87380643, 'sum Stepscores': 912.7422645634406, 'n_Target': 1.6666666666666667e-05}",0.020994316666666662,54764535.87380643,7.738499411401028,3.0,True,S-B,Automated,After
17,377.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3c(F)c(F)c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4nsnc34)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3c(F)c(F)c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)c4nsnc34)ccc21,Fc1c(F)c(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.22888721742962775, 'cost': 0.22888721742962775, 'time': 0.24804259351539967, 'money': 13.652671745, 'materials': 0.06758925000000005, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 394.07900946558857, 'cost': 394.07900946558857, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05690998333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 220.8754970954687, 'cost': 220.8754970954687, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03190848333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 224.21123481334092, 'cost': 224.21123481334092, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03764296666666666, 'yield': 1, '# man steps': 1}]","{'RouteScore': 50437134.16600513, 'Cost factor': 50437134.16600513, 'sum Stepscores': 840.6189027667522, 'n_Target': 1.6666666666666667e-05}",0.01735271666666666,50437134.16600513,7.702750402023787,3.0,True,S-B,Automated,After
19,379.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2ccc3nc4ccc(-c5c(-c6ccc7c(ccn7-c7cnccn7)c6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc4nc5ccc(-c6c(F)cccc6-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5nc4c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc4nc5ccc(-c6c(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)cccc6-n6c7ccccc7c7ccccc76)cc5nc4c3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2ccc3nc4ccc(-c5c(-c6ccc7[nH]ccc7c6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.3347038454754008, 'cost': 0.3347038454754008, 'time': 0.24804259351539967, 'money': 19.924868841666665, 'materials': 0.06772343333333336, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 395.0081757030318, 'cost': 395.0081757030318, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.057044166666666674, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 221.8043350518928, 'cost': 221.8043350518928, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03204266666666666, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 225.01046541395883, 'cost': 225.01046541395883, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03777715, 'yield': 1, '# man steps': 1}]","{'RouteScore': 50602917.25135698, 'Cost factor': 50602917.25135698, 'sum Stepscores': 843.3819541892831, 'n_Target': 1.6666666666666667e-05}",0.017486899999999996,50602917.25135698,7.704175554579845,3.0,True,S-B,Automated,After
20,382.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)c(-n2c3ccccc3c3ccccc32)cc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(F)c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)cc4F)cc3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(-n5c6ccccc6c6ccccc65)c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)cc4-n4c5ccccc5c5ccccc54)cc3)ccc21,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)c(-n2c3ccccc3c3ccccc32)cc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2378281006567338, 'cost': 1.2378281006567338, 'time': 0.24804259351539967, 'money': 27.639846006666666, 'materials': 0.18055040000000006, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.20980822273781644, 'cost': 0.20980822273781644, 'time': 0.24804259351539967, 'money': 13.048796699999999, 'materials': 0.06482250000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 383.2252721906724, 'cost': 383.2252721906724, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05534256666666667, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 210.02559452288048, 'cost': 210.02559452288048, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.030341066666666666, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 214.87529619265987, 'cost': 214.87529619265987, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03607555, 'yield': 1, '# man steps': 1}]","{'RouteScore': 48574427.953776434, 'Cost factor': 48574427.953776434, 'sum Stepscores': 809.5737992296073, 'n_Target': 1.6666666666666667e-05}",0.0157853,48574427.953776434,7.686407694748276,3.0,True,S-B,Automated,After
22,419.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc(Br)nc1,c1cc(-c2ccc(-c3cccc(-c4ccc5c(ccn5-c5cnccn5)c4)c3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3c(ccn3-c3cnccn3)c2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc(-c5cccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)c5F)nc4)c3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc(-c5cccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)c5-n5c6ccccc6c6ccccc65)nc4)c3-n3c4ccccc4c4ccccc43)ccc21,c1cc(-c2ccc(-c3cccc(-c4ccc5[nH]ccc5c4)c3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3[nH]ccc3c2)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.223080388597903, 'cost': 1.223080388597903, 'time': 0.24804259351539967, 'money': 27.041102866666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.2135640415145918, 'cost': 0.2135640415145918, 'time': 0.24804259351539967, 'money': 13.037850066666666, 'materials': 0.06603830000000004, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 383.33929731085556, 'cost': 383.33929731085556, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05535903333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 210.1395793571802, 'cost': 210.1395793571802, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.030357533333333332, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 214.9733759136151, 'cost': 214.9733759136151, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.036092016666666664, 'yield': 1, '# man steps': 1}]","{'RouteScore': 48593333.8207058, 'Cost factor': 48593333.8207058, 'sum Stepscores': 809.8888970117633, 'n_Target': 1.6666666666666667e-05}",0.01580176666666666,48593333.8207058,7.686576695528713,3.0,True,S-B,Automated,After
23,420.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccc5c(ccn5-c5cnccn5)c4)c3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4cc(F)c(-c5cccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)c5F)cc4F)c3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)c(-c5cccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)c5-n5c6ccccc6c6ccccc65)cc4-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccc5[nH]ccc5c4)c3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.223080388597903, 'cost': 1.223080388597903, 'time': 0.24804259351539967, 'money': 27.041102866666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.21563096935674247, 'cost': 0.21563096935674247, 'time': 0.24804259351539967, 'money': 13.048796699999999, 'materials': 0.06662150000000003, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 690.6078572466733, 'cost': 690.6078572466733, 'time': 20.099532983070638, 'money': 344.7261776, 'materials': 0.09967156666666667, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 248.14244614665023, 'cost': 248.14244614665023, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03584756666666666, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 247.67343283880612, 'cost': 247.67343283880612, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.041582049999999995, 'yield': 1, '# man steps': 1}]","{'RouteScore': 71271746.85540505, 'Cost factor': 71271746.85540505, 'sum Stepscores': 1187.8624475900842, 'n_Target': 1.6666666666666667e-05}",0.021291799999999996,71271746.85540505,7.852917403393079,3.0,True,S-B,Automated,After
