,Unnamed: 0,Unnamed: 0.1,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score
20,20.0,20.0,Fc1cc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5ccnc(F)c5)cc4)s3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,1.0,Clc1cc(Br)sc1Br,0.2800090963723189,1.1324510295870769,0.5099533579284233,0.000110195839969,0.0054878778774547,0.0003189597899404,60795.40900298585
21,21.0,21.0,Cc1nc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3nsnc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2nc1C,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,2.0,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,0.176166224723713,0.1571066221900348,0.0022239868641338,0.0865890565432493,0.0600638187660585,0.001994219032348,65728.82585037596
22,22.0,22.0,Fc1cc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4ccnc(F)c4)cc3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,3.0,Brc1ccccc1Oc1ccccc1Br,0.0274169985243957,0.0946953075969029,0.0179731243976339,3.210556008442244e-05,0.000492772951828,7.961648967440899e-05,58652.95324724515
23,23.0,23.0,CC(C)(C)c1ccc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3ccccc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2c1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,4.0,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,0.5148479230396782,0.2392827488664093,0.8208502498337628,0.0002037141364158,0.502394833413804,0.0005015245496248,65498.72165960904
24,24.0,24.0,Fc1cc(-c2ccc(-c3cc(F)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3F)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,5.0,Fc1cc(Br)c(F)cc1Br,0.161041630161298,1.3559831708016612,0.0287739911520479,3.481685565309407e-05,0.0008682989038614,0.0001422267630251,57935.63129344703
25,25.0,25.0,Fc1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(F)c6)cc5)cc4c3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,6.0,Brc1ccc2oc(Br)cc2c1,0.3820088320782676,1.2522112181504592,0.0437293861480452,4.3895432599222746e-05,0.0013148130806991,0.0001888328662155,34945452.49623647
26,26.0,26.0,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)o3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,7.0,Brc1ccc(Br)o1,0.5772946459351098,1.2275388893663814,0.4620674218574895,9.810954074401234e-05,0.0091925872870745,0.0003622664189287,58534.06251677331
27,27.0,27.0,Fc1cc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6ccnc(F)c6)cc5)ccc3-4)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,8.0,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.2193180032903772,0.9120575913900714,0.2958072223647107,7.966492729079882e-05,0.0026210352643547,0.0002555147835852,59357.70100236155
28,28.0,28.0,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c(Cl)cc3Cl)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,9.0,Clc1cc(Cl)c(Br)cc1Br,0.0535557262834864,0.3297053839998891,0.000520620943537,1.2351928432625569e-05,0.0003538693880233,5.8114258892648096e-05,66312.18467752266
29,29.0,29.0,Fc1cc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccnc(F)c6)cc5)ccc4c3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,10.0,Brc1cnc2nc(Br)ccc2c1,0.0342016255712946,0.3053860969370408,0.5489261964890907,0.0001172367124857,0.0020294265231559,0.0002243951958468,61110.65774307421
