,not_matched
42,CC(C)(C)c1ccc2c(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c2c1
43,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c2c1
44,CC(C)(C)c1ccc2c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c2c1
45,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2ccc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c1
46,c1cc(-c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
47,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)nc2)c2ccccc12
48,c1cc(-c2ccc3oc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
49,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c1
50,C[N+]12CC(=O)O[B-]1(/C=C/Br)OC(=O)C2
51,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cnc3nc(-c4c(-c5ccc(F)c6ccccc56)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c2ccccc12
52,c1cc(-c2cnc3nc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
