,not_matched
62,C[Si](C)(c1ccccc1-c1sccc1-c1ccc(F)c2ccccc12)c1ccccc1-c1sccc1-c1ccc(F)c2ccccc12
63,c1ccc2c(-c3sccc3-c3ccc4c(ccn4-c4cnccn4)c3)cc(-c3sccc3-c3ccc4c(ccn4-c4cnccn4)c3)cc2c1
64,C[Si](C)(c1ccccc1-c1cc2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2o1)c1ccccc1-c1cc2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2o1
65,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)cc21
66,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cnn3C)ccc2-c2ccc(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cnn3C)cc21
67,c1cc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)s2)c2c(-c3ccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)s3)cccc2c1
68,C[Si](C)(c1ccccc1-c1cccc(-c2ccco2)c1)c1ccccc1-c1cccc(-c2ccco2)c1
69,Clc1ccc(Cl)c(-c2ncccc2-c2cnc3nc(-c4cccnc4-c4cc(Cl)ccc4Cl)ccc3c2)c1
70,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)cc21
71,CSc1cncc(-c2cc(-c3cccc4cccc(-c5cc(-c6cncc(SC)c6)cc(C(F)(F)F)c5)c34)cc(C(F)(F)F)c2)c1
72,FC(F)(F)c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)cc(-c2cc(Cl)c(-c3cc(-c4ccc5c(ccn5-c5cnccn5)c4)cc(C(F)(F)F)c3)s2)c1
73,Cn1ncc(-c2nccs2)c1-c1c2ccccc2c(-c2c(-c3nccs3)cnn2C)c2cc(C(C)(C)C)ccc12
74,c1ccc2c(-c3ccc(-c4nccs4)s3)cc(-c3ccc(-c4nccs4)s3)cc2c1
75,CS(=O)(=O)c1cncc(-c2ccc(-c3ccc4oc(-c5ccc(-c6cncc(S(C)(=O)=O)c6)s5)cc4c3)s2)c1
76,c1cc(-c2ccc3[nH]ccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccc5[nH]ccc5c4)c3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1
77,Cn1ncc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1-c1cc(F)c(-c2c(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cnn2C)cc1F
78,Clc1ccc(Cl)c(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5cc(Cl)ccc5Cl)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1
79,Fc1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-c1c(F)c(F)c(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2F)c2nsnc12
80,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cnc4nc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc4c3)ccc21
81,Clc1cc(Cl)c(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c2)cc1-c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1
82,Cc1nc2c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c2nc1C
83,C[Si](C)(c1ccc(-c2cccc(-c3cc(F)cc(F)c3)c2)cc1)c1ccc(-c2cccc(-c3cc(F)cc(F)c3)c2)cc1
84,c1cc(-c2ccc3[nH]ccc3c2)cc(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccc5[nH]ccc5c4)c3)cc2-n2c3ccccc3c3ccccc32)c1
85,c1cc(-c2ccc(-c3cccc(-c4ccco4)c3)nc2)cc(-c2ccco2)c1
86,c1cc(-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3)o2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
87,c1coc(-c2ccc3oc(-c4ccc(-c5cc6cc(-c7ccco7)ccc6o5)nc4)cc3c2)c1
88,Cn1ncc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1c2ccccc2c(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cnn2C)c2cc(C(C)(C)C)ccc12
89,FC(F)(F)c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cccc3cccc(-c4cc(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)cc(C(F)(F)F)c4)c23)c1
90,Fc1cc(F)cc(-c2cccc(-c3cc(-c4cccc(-c5cc(F)cc(F)c5)c4F)c(Cl)cc3Cl)c2F)c1
91,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3)cc21
92,c1cc(-c2ccco2)cc(-c2ccc(-c3cccc(-c4ccco4)c3)o2)c1
93,FC(F)(F)c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)cc(-c2cccc3cccc(-c4cc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)cc(C(F)(F)F)c4)c23)c1
94,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2nc1C
95,C[Si](C)(c1ccc(-c2ccc(-c3cc(Cl)ccc3Cl)cc2)cc1)c1ccc(-c2ccc(-c3cc(Cl)ccc3Cl)cc2)cc1
96,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccc4[nH]ccc4c3)ccc2-c2ccc(-c3sccc3-c3ccc4[nH]ccc4c3)cc21
97,c1cc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccc(-c5ccc6[nH]ccc6c5)c4)ccc2-3)cc(-c2ccc3[nH]ccc3c2)c1
98,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6cc(-n7c8ccccc8c8ccccc87)cc(-n7c8ccccc8c8ccccc87)c6)cc5)cc4c3)cc2)cc(-n2c3ccccc3c3ccccc32)c1
99,C[Si](C)(c1ccccc1-c1c(F)cccc1-c1ccnc(-n2c3ccccc3c3ccccc32)c1)c1ccccc1-c1c(F)cccc1-c1ccnc(-n2c3ccccc3c3ccccc32)c1
100,CSc1cncc(-c2cccc(F)c2-c2c3ccccc3c(-c3c(F)cccc3-c3cncc(SC)c3)c3cc(C(C)(C)C)ccc23)c1
101,Fc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(Cl)c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)s2)ccn1
102,FC(F)(F)c1cc(-c2ccc3[nH]ccc3c2)cc(-c2cc(-c3cc(-c4ccc5[nH]ccc5c4)cc(C(F)(F)F)c3)c(Cl)cc2Cl)c1
103,CC(C)(C)c1ccc2c(-c3c(-c4cc(Cl)ccc4Cl)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4cc(Cl)ccc4Cl)cccc3-n3c4ccccc4c4ccccc43)c2c1
104,C[Si](C)(c1ccc(-c2c(F)cccc2-c2ccc3[nH]ccc3c2)cc1)c1ccc(-c2c(F)cccc2-c2ccc3[nH]ccc3c2)cc1
105,Fc1cc(F)cc(-c2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3cc(F)cc(F)c3)cc2-n2c3ccccc3c3ccccc32)c1
106,Fc1cc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4ccnc(F)c4)cc3)cc2)ccn1
107,Fc1cccc(-c2ccc(F)c3ccccc23)c1-c1cc(Cl)c(-c2c(F)cccc2-c2ccc(F)c3ccccc23)s1
108,Fc1cc(-c2ccsc2-c2ccc3oc(-c4sccc4-c4ccnc(F)c4)cc3c2)ccn1
109,CS(=O)(=O)c1cncc(-c2ncccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3cncc(S(C)(=O)=O)c3)cc2-n2c3ccccc3c3ccccc32)c1
110,c1coc(-c2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3ccccc3-c3ccco3)cc2-n2c3ccccc3c3ccccc32)c1
111,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3ccc([Si](C)(C)c4ccc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4)cc3)ccc21
112,Cc1nc2c(-c3ccc(-c4cc(Cl)ccc4Cl)cc3)c3nsnc3c(-c3ccc(-c4cc(Cl)ccc4Cl)cc3)c2nc1C
113,CSc1cncc(-c2cnn(C)c2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4cncc(SC)c4)cnn3C)cc2-n2c3ccccc3c3ccccc32)c1
114,Fc1cc(-c2ccccc2-c2cnc3nc(-c4ccccc4-c4ccnc(F)c4)ccc3c2)ccn1
115,Cn1ncc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-c1cc(F)c(-c2c(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cnn2C)cc1F
116,C[N+]12CC(=O)O[B-]1(/C=C\Br)OC(=O)C2
